Mangosuthu Gatsha Buthelezi,Keldoron Properties 8,Unremunerated
Masefako Clarah Dikgale,Mogogadi Enterprise,Business Activity (Dormant)
Masefako Clarah Dikgale,Fetogang Makgarebe Cultural Group,NGO (Chairperson)
Masefako Clarah Dikgale,Baruiba Temana,Agricultural (Member)
Masefako Clarah Dikgale,Kgwerano E Tizle,Agricultural (Monitor)
Masefako Clarah Dikgale,Masefako Funerals,Business (Director)
Mathole Serofo Motshekga,Sechaba Trust,Insolvency Practice
Mathole Serofo Motshekga,KaraHeritage Institute,NGO Involved in Heritage Education
Mathole Serofo Motshekga,Mukoni Trust Investment Holding (Pty)Ltd,Business
Joseph Phaahla,Trustee: Ingwe and Moshate Trusts,Both are Family Trusts with Ingwe trust holding shares in a mining Company
Joseph Phaahla,Resigned from all previously held directorship including companies Promethium and Singenile Capital in 2012,
Angie Motshekga,Mathole Flynn,Close Corporation
Angie Motshekga,Igugu Lesizwe Gold Investments Private Company,
Angie Motshekga,Samme Ngwana mme Community,Non-Profit Company
Angie Motshekga,Imbewu Trust,Non-Profit Company
Matthews Johannes Wolmarans,TransYork Services - Director,De-Registered
Matthews Johannes Wolmarans,Megaworks Trading Enterprise 187 - Director,Programme/ Projects Management
Matthews Johannes Wolmarans,SARGB Holdings - Director,Resigned
Matthews Johannes Wolmarans,Western Breeze TRD 110 - Director,Projects / Programme
Matthews Johannes Wolmarans,MOSA Projects and Investments - Director,General Enterprise / Projects
Matthews Johannes Wolmarans,Northwest Star - NTI -Attridgeville Bus Services Director,Resigned
Mbulelo Richmond Bara,Numisa Projects,Dormant
Mbulelo Richmond Bara,Plipa Projects,Dormant
Mbulelo Richmond Bara,Tsalanang Enterprises,Dormant
Mcebisi Skwatsha,2002. MCE-Le-RENT-A-LOO PROTOCOR FORTY FIVE (This has been placed under the Administrator of Mr Lefta Mapilo,Mobile Toilets
Mervyn Alexander Dirks,No Regrets Trading,Final Deregistration
Mervyn Alexander Dirks,Redlands Suite 5,Final Deregistration
Mervyn Alexander Dirks,INVESTRAC 21,Final Deregistration
Mervyn Alexander Dirks,Commshelf 24,Final Deregistration
Mervyn Alexander Dirks,Cliesta Investment,Close Corporation
Mervyn Alexander Dirks,Facilitator Trading,Final Deregistration
Mervyn Alexander Dirks,Pacific Breeze Trading 5,Final Deregistration
Mervyn Alexander Dirks,Bradbury Trading 30,Final Deregistration
Mervyn Alexander Dirks,Mish Lake trade and investment 73,Private Company
Mervyn Alexander Dirks,Leicester Football Club,Final Deregistration
Michael Bagraim,Director,Radio Disa
Michael Bagraim,Director,Altitude Employment Solutions
Michael Bagraim,Director,Winn Foundation (RF)
Michael Bagraim,Director,Isamark Investments
Michael Stephen Shackleton,Shackleton,Legal Practice
Mkhuleko Hlengwa,HermisCape,Dormant/Inactive
Lulu Johnson,RBT Resources,Investments
Lulu Johnson,Regent Registrars,Investments
Lulu Johnson,RBT Grindrod Terminals,Terminal Operator
Lulu Johnson,Charula Communication,Investments
Lulu Johnson,Afrivest Packaging,Packaging
Lulu Johnson,Maruo Investments,Investments
Lulu Johnson,Morning Tide Investment,Investments
Lulu Johnson,"I must mention that ll of these companies, except for RBT",
Mmamoloko Tryphosa Kubayi-Ngubane,Ziduseni Transport Africa,Deregistration process
Mmamoloko Tryphosa Kubayi-Ngubane,Linky Construction,Deregistration process
Mmusi Aloysias Maimane,Liberty Compassion,Charity
Mmusi Aloysias Maimane,Director: New Africa Foundation Charity,
Mmusi Aloysias Maimane,LMJ Consulting,Shares disposed of end of 2016
Mmusi Aloysias Maimane,Maimane Training,Sole Proprietorship
Enver Surty,Hectaris &amp; Hectaris,Property Investment
Enver Surty,Casbah Cinema (Pty)Ltd,Property Investment
Enver Surty,Safari Centre (Pty)Limited,Property Investment
Enver Surty,Zinrus Properties CC,Property Investment
Mohammed Haniff Hoosen,Durban Advertising Agency,Advertising
Mohapi Jihad Mohapi,AST Africa Trading S28 CC,Dormant
Mohlopi Philemon Mapulane,"BA Kgotole Investments (Pty)Ltd General Activity, but focus now is property"
Moloko Stanford Armour Maila,Larmour 244 Trading,Deregistered
Moloko Stanford Armour Maila,Big Four Business Enterprise,Deregistered
Moloko Stanford Armour Maila,Makgato CPA Cooperative Limited,Farming - No Business Activities
Motalane Monakedi,Cold Creek Investments,Investments (Family Trust Owned)
Narend Singh,Mandla-Matla Publishing,Unpaid non-executive - Publishing
Narend Singh,Nand M. Singh Partnership,Property Investments
Narend Singh,Cranes Crest Investment,Not Operational
Ndabakayise Erasmus Gcwabaza,DOXA,Polishing of Diamonds (Dormant)
Ndabakayise Erasmus Gcwabaza,Khuphuka,Cargo Airfreight (Dormant)
Neliswa Peggy Nkonyeni,Siyathutha Cleaning Services - Director,Cleaning Services
Neliswa Peggy Nkonyeni,Siwelile Women Multi purpose Primary Co-operative Limited - Director,Co-Operative
Neliswa Peggy Nkonyeni,Natal Women Resource Centre - Director,Resource Centre
Neliswa Peggy Nkonyeni,Oweshumi - Director,Private Company
Neliswa Peggy Nkonyeni,Umqemane Lifestyle Centre - Director,Private Company
Neliswa Peggy Nkonyeni,Reynold Nkonyeni- Director,Non Profit Company
Neliswa Peggy Nkonyeni,Preponderance Trading - Director Private Company,
Neliswa Peggy Nkonyeni,Sanbren Investments - Director,Private Company
Neliswa Peggy Nkonyeni,Manyanyatha Security Services - Director,Private Company
Neliswa Peggy Nkonyeni,Ayazibambela Holdings - Director Private Company,
Neliswa Peggy Nkonyeni,Register of Integrative Colon Therapists and Trainers South Africa - Director,Private Company
Neliswa Peggy Nkonyeni,Full Moon Properties - Director,Private Company
Neliswa Peggy Nkonyeni,Yellow Star Agrohealth Tourism Organic Farm - Director,Private Company
Neliswa Peggy Nkonyeni,South African School Alumni Network - Director,Non Profit Company
Nicolaas Jacobus Janse Van Rensburg Koornhof,Macias Resh's Charitable Trust,Trustee - Charitable Trust
Nicolaas Jacobus Janse Van Rensburg Koornhof,Grincourt Family Trust,Trustee - Family Trust
Nicolaas Jacobus Janse Van Rensburg Koornhof,Kamp Wisani (Pty)Ltd - Director Property Holding,
Nicolaas Jacobus Janse Van Rensburg Koornhof,KAMP Jejane 42 (Pty)Ltd - Director,Hold Shares
Nicolaas Jacobus Janse Van Rensburg Koornhof,Olifants West Conservation,Director - Conservation
Nicolaas Jacobus Janse Van Rensburg Koornhof,Fums (Pty)Ltd Sec 21,Director - Conservation Trust
Nkagisang Poppy Koni,Kagontle Trading Enterprise,Trading Enterprise Company
Nkosiyakhe Amos Masondo,Bheki Mlangeni Foundation - Tustee,Non Profit Organisation
Nokukhanya Mthembu,SNSJ - Director,Deregistered
Nokukhanya Mthembu,Thonzy Weddings,Director: Deregistered
Nomsa Innocencia Tarabella Marchesi,Corpcio 784,Construction
Nomsa Innocencia Tarabella Marchesi,Dupla Agricultural Co-Op,Catering
Nomsa Innocencia Tarabella Marchesi,Famba Group Co-OP,Catering
Nomsa Innocencia Tarabella Marchesi,Inzuzo Financier Co-Op,Finance
Nomsa Innocencia Tarabella Marchesi,Mpile Clinical Research,Medical
Nomsa Innocencia Tarabella Marchesi,National Association for Co-Op,Finance
Nomvuzo Francisca Shabalala,WHGC (World Heritage ) - Director,Sports (Dormant)
Nomvuzo Francisca Shabalala,Nolitha Food Umthombo Co- Operative- Director,Buy
Nontando Nolutshungu,Western Cape Women Investment Forum - Director,Investment Company
Nosiviwe Mapisa-Nqakula,Edgebay,Private Business
Nosiviwe Mapisa-Nqakula,Dynamo,Private Business
Nthabiseng Pauline Khunou,Director: Crucial Trade,Textile Industry
Ntokozo Khonziwe Fortunate Hlonyana,Hlonyana Business Enterprise - Director,Electrical Contaction
Ntokozo Khonziwe Fortunate Hlonyana,KNF Catering - Director,Catering
Ockert Stefanus Terblanche,Drift Wood Maze Trade(Pty)Ltd,"Estate Agency, Property management, trading as &#196;ct Property Management""."
Ockert Stefanus Terblanche,Keller Williams Eden (George),"Estate agency, Sales"
Ockert Stefanus Terblanche,Keller Williams Scenic (Hermanus),"Estate Agency, Sales"
Olifile Sefako,Lapa Administration,Deregistration
Olifile Sefako,Platinum Service Stop,Deregistration
Olifile Sefako,Ipeleng Development,Deregistration
Olifile Sefako,Botswerere Blasting,Deregistration
Olifile Sefako,Try Projects,Deregistration
Olifile Sefako,Mmotu Projects,Deregistration
Patrick Dumile Nono Maloyi,Khulula Enterprises (Pty)Ltd,Business
Patrick George Atkinson,Rainbow Place properties (Pty)Ltd,Property Owing Company
Pebane George Moteka,Nemateka Ltd,Business
Pebane George Moteka,Gatee-Fela Trading CC,Both Entities made any business
Phumuzile Catherine Ngwenya-Mabila,Sidlekude Women Enterprise,General Service
Phumuzile Catherine Ngwenya-Mabila,Autumn Skies TRD (Member),Security Service
Phumuzile Catherine Ngwenya-Mabila,Litsala Business Dev,General Service
Phumuzile Catherine Ngwenya-Mabila,Sibusiso Foundation,NPO
Phumuzile Catherine Ngwenya-Mabila,Limisa Transport,Provision of Public Transport
